Fertilizer,Plant height,time,Cultivar
Nitrogen,85,First month,Cultivar 1
Nitrogen,85,Second month,Cultivar 1
Nitrogen,88,Third month,Cultivar 1
Nitrogen,90,First month,Cultivar 1
Nitrogen,92,Second month,Cultivar 1
Nitrogen,93,Third month,Cultivar 1
Nitrogen,97,First month,Cultivar 1
Nitrogen,97,Second month,Cultivar 1
Nitrogen,94,Third month,Cultivar 1
Nitrogen,80,First month,Cultivar 1
Nitrogen,82,Second month,Cultivar 1
Nitrogen,83,Third month,Cultivar 1
Nitrogen,91,First month,Cultivar 1
Nitrogen,92,Second month,Cultivar 1
Nitrogen,91,Third month,Cultivar 1
Potassium,83,First month,Cultivar 1
Potassium,83,Second month,Cultivar 1
Potassium,84,Third month,Cultivar 1
Potassium,87,First month,Cultivar 1
Potassium,88,Second month,Cultivar 1
Potassium,90,Third month,Cultivar 1
Potassium,92,First month,Cultivar 1
Potassium,94,Second month,Cultivar 1
Potassium,95,Third month,Cultivar 1
Potassium,97,First month,Cultivar 1
Potassium,99,Second month,Cultivar 1
Potassium,96,Third month,Cultivar 1
Potassium,100,First month,Cultivar 1
Potassium,97,Second month,Cultivar 1
Potassium,100,Third month,Cultivar 1
Nitrogen,86,First month,Cultivar 2
Nitrogen,86,Second month,Cultivar 2
Nitrogen,84,Third month,Cultivar 2
Nitrogen,93,First month,Cultivar 2
Nitrogen,103,Second month,Cultivar 2
Nitrogen,104,Third month,Cultivar 2
Nitrogen,90,First month,Cultivar 2
Nitrogen,92,Second month,Cultivar 2
Nitrogen,93,Third month,Cultivar 2
Nitrogen,95,First month,Cultivar 2
Nitrogen,96,Second month,Cultivar 2
Nitrogen,100,Third month,Cultivar 2
Nitrogen,89,First month,Cultivar 2
Nitrogen,96,Second month,Cultivar 2
Nitrogen,95,Third month,Cultivar 2
Potassium,84,First month,Cultivar 2
Potassium,86,Second month,Cultivar 2
Potassium,89,Third month,Cultivar 2
Potassium,103,First month,Cultivar 2
Potassium,109,Second month,Cultivar 2
Potassium,90,Third month,Cultivar 2
Potassium,92,First month,Cultivar 2
Potassium,96,Second month,Cultivar 2
Potassium,101,Third month,Cultivar 2
Potassium,97,First month,Cultivar 2
Potassium,98,Second month,Cultivar 2
Potassium,100,Third month,Cultivar 2
Potassium,102,First month,Cultivar 2
Potassium,104,Second month,Cultivar 2
Potassium,103,Third month,Cultivar 2
Nitrogen,93,First month,Cultivar 3
Nitrogen,98,Second month,Cultivar 3
Nitrogen,110,Third month,Cultivar 3
Nitrogen,98,First month,Cultivar 3
Nitrogen,104,Second month,Cultivar 3
Nitrogen,112,Third month,Cultivar 3
Nitrogen,98,First month,Cultivar 3
Nitrogen,105,Second month,Cultivar 3
Nitrogen,99,Third month,Cultivar 3
Nitrogen,87,First month,Cultivar 3
Nitrogen,132,Second month,Cultivar 3
Nitrogen,120,Third month,Cultivar 3
Nitrogen,94,First month,Cultivar 3
Nitrogen,110,Second month,Cultivar 3
Nitrogen,116,Third month,Cultivar 3
Potassium,95,First month,Cultivar 3
Potassium,126,Second month,Cultivar 3
Potassium,143,Third month,Cultivar 3
Potassium,100,First month,Cultivar 3
Potassium,126,Second month,Cultivar 3
Potassium,140,Third month,Cultivar 3
Potassium,103,First month,Cultivar 3
Potassium,124,Second month,Cultivar 3
Potassium,140,Third month,Cultivar 3
Potassium,94,First month,Cultivar 3
Potassium,135,Second month,Cultivar 3
Potassium,130,Third month,Cultivar 3
Potassium,99,First month,Cultivar 3
Potassium,111,Second month,Cultivar 3
Potassium,150,Third month,Cultivar 3
