Fertilizer,Plant height,time,Cultivar
Nitrogen,85,First month,Cultivar 1
Nitrogen,85,Second month,Cultivar 1
Nitrogen,88,Third month,Cultivar 1
Nitrogen,90,First month,Cultivar 1
Nitrogen,92,Second month,Cultivar 1
Nitrogen,93,Third month,Cultivar 1
Nitrogen,97,First month,Cultivar 1
Nitrogen,97,Second month,Cultivar 1
Nitrogen,94,Third month,Cultivar 1
Nitrogen,80,First month,Cultivar 1
Nitrogen,82,Second month,Cultivar 1
Nitrogen,83,Third month,Cultivar 1
Nitrogen,91,First month,Cultivar 1
Nitrogen,92,Second month,Cultivar 1
Nitrogen,91,Third month,Cultivar 1
Nitrogen,86,First month,Cultivar 2
Nitrogen,86,Second month,Cultivar 2
Nitrogen,84,Third month,Cultivar 2
Nitrogen,93,First month,Cultivar 2
Nitrogen,103,Second month,Cultivar 2
Nitrogen,104,Third month,Cultivar 2
Nitrogen,90,First month,Cultivar 2
Nitrogen,92,Second month,Cultivar 2
Nitrogen,93,Third month,Cultivar 2
Nitrogen,95,First month,Cultivar 2
Nitrogen,96,Second month,Cultivar 2
Nitrogen,100,Third month,Cultivar 2
Nitrogen,89,First month,Cultivar 2
Nitrogen,96,Second month,Cultivar 2
Nitrogen,95,Third month,Cultivar 2
Nitrogen,93,First month,Cultivar 3
Nitrogen,98,Second month,Cultivar 3
Nitrogen,88,Third month,Cultivar 3
Nitrogen,98,First month,Cultivar 3
Nitrogen,112,Second month,Cultivar 3
Nitrogen,90,Third month,Cultivar 3
Nitrogen,98,First month,Cultivar 3
Nitrogen,115,Second month,Cultivar 3
Nitrogen,99,Third month,Cultivar 3
Nitrogen,87,First month,Cultivar 3
Nitrogen,110,Second month,Cultivar 3
Nitrogen,102,Third month,Cultivar 3
Nitrogen,94,First month,Cultivar 3
Nitrogen,98,Second month,Cultivar 3
Nitrogen,120,Third month,Cultivar 3
